dev,dev_response,dev_response_datetime,id,isedited,rating,review,review_datetime,title,username
,,,,False,5,"All you have to do is review vegan products and dishes. Every review is worth $1 so when you reach 10 you get to choose an animal sanctuary to donate to. And there is no limit to how many reviews you can post or how much you can donate!
This is wonderful and a great platform to help animals, even for those who don’t really have the financial means to make cash donations. 
Well done! Hope in humanity restoration in process... 😅",2020-04-03 05:55:40,Wonderful charity app that doesn’t ask for money,Xpadrile
"{'id': 9968524, 'body': ""Hi Sarah,\n\nThanks so much for the great feedback about the search functions. It's something that's been a big focus of ours and we're making big improvements to the search and location functionality in the next 30 days. I hope you like the improvements and if you have any feedback please let me know at vikas@abillionveg.com\n\nThanks & wishing you the best,\nVikas"", 'modified': '2019-08-02T04:56:02Z'}","Hi Sarah,

Thanks so much for the great feedback about the search functions. It's something that's been a big focus of ours and we're making big improvements to the search and location functionality in the next 30 days. I hope you like the improvements and if you have any feedback please let me know at vikas@abillionveg.com

Thanks & wishing you the best,
Vikas",2019-08-02 04:56:02,9968524.0,False,5,"ABV is such a wonderful app. You can find other vegans in your community, discover plant-based food in your area, and, best of all, your reviews donate money to animal welfare organizations. It’s a great and accessible way to change the world! My only complaint would be the search feature. It can be difficult to find restaurants or stores in your area. It would be helpful if you could tell the app which country, state, and city you want to search in.",2019-03-14 18:11:01,Awesome app for a great cause!,Sarah0729
"{'id': 9967383, 'body': 'Hi Alexa, thank you so much for the review and amazing feedback. We have a lot of improvements to location, to be honest it\'s been a constant work in progress the last year, and I think you\'ll be happy to see the next stage of location based searches coming soon. \n\nThere is a backdoor way to add restaurants that don\'t have dish reviews. Start by searching for a restaurant, if its already in our database just click on it, if not you\'ll see a button that says  ""find more results"", which will do a broader internet based search for the business. Click on the listing you want, and by simply adding more info to the ""tell us more about this place"". By simply selecting just the veg friendly rating as friendly or very friendly, you\'ll then have added that listing into the map and search results for the area. I know this needs work to make it a great user experience, and I promise you we\'re working on it. I really hope you\'ll stay part of the community.\n\nThank you & all the best,\nVikas', 'modified': '2019-08-02T02:59:53Z'}","Hi Alexa, thank you so much for the review and amazing feedback. We have a lot of improvements to location, to be honest it's been a constant work in progress the last year, and I think you'll be happy to see the next stage of location based searches coming soon. 

There is a backdoor way to add restaurants that don't have dish reviews. Start by searching for a restaurant, if its already in our database just click on it, if not you'll see a button that says  ""find more results"", which will do a broader internet based search for the business. Click on the listing you want, and by simply adding more info to the ""tell us more about this place"". By simply selecting just the veg friendly rating as friendly or very friendly, you'll then have added that listing into the map and search results for the area. I know this needs work to make it a great user experience, and I promise you we're working on it. I really hope you'll stay part of the community.

Thank you & all the best,
Vikas",2019-08-02 02:59:53,9967383.0,False,3,"I love love love the concept of this app, but as stated before, there are some execution issues. 

Firstly, we need better location features. The map needs some improvement, you can’t search further than what is directly next to you. Secondly, it would be nice to be able to search on the feed by state/city.

Finally, if there were more features that allowed users to add to the database of info I would definitely be willing to help. For example, adding restaurants that we know have vegan options but don’t necessarily have a specific dish to review.",2019-07-31 16:05:33,"Great app, execution needs work",alexathebee
"{'id': 27240295, 'body': 'Thank you Alicat, we are so happy you found us and that we made an impact. Your reviews make a difference to the causes we support. Continue making a positive impact through abillion  and share it with your friends.', 'modified': '2022-01-04T22:00:41Z'}","Thank you Alicat, we are so happy you found us and that we made an impact. Your reviews make a difference to the causes we support. Continue making a positive impact through abillion  and share it with your friends.",2022-01-04 22:00:41,27240295.0,False,5,I can’t tell you how excited I was when I found this app. For years I’ve been navigating vegan food on my own/ through word of mouth but I finally have a resource to go to for reviews and the best part is the added benefit of giving back. This company is ahead of its game and will be a huge player in the vegan space for years to come!,2021-12-19 17:25:30,The best vegan food resource for reviews,alicattt111
"{'id': 27429407, 'body': 'Hi Amelia8989, thank you for your review. For now we made this a requirement since we want to make sure that members really have tried what they are reviewing. We completely understand your concern and we are working on a way to allow also members without uploading photos to make reviews. However, you can still share your thoughts about restaurants in the social posts feature. Thank you for your understanding and for all your support. See you on abillion 🌱', 'modified': '2022-01-13T19:28:07Z'}","Hi Amelia8989, thank you for your review. For now we made this a requirement since we want to make sure that members really have tried what they are reviewing. We completely understand your concern and we are working on a way to allow also members without uploading photos to make reviews. However, you can still share your thoughts about restaurants in the social posts feature. Thank you for your understanding and for all your support. See you on abillion 🌱",2022-01-13 19:28:07,27429407.0,False,3,"I downloaded the app and was excited to add reviews about the vegan options for some restaurants I’d eaten at recently with no listed info. But I apparently need to have a picture to post a review, and I generally don’t take pictures of my food so I can’t post any reviews now. 

If you really care about sharing information, I don’t know why you would have this requirement. Not everyone takes photos of their food, and you’re excluding a lot of knowledge from people who don’t.",2022-01-10 01:12:50,Why can’t you add reviews without photos?,Amelia8989
"{'id': 27538757, 'body': 'Hi Vironx, thank you so much for your lovely word. We are delighted to hear that you are connecting with like-minded people and finding helpful recommendations and advice on plant-based items. Thanks for all your support -see you on abillion 💚', 'modified': '2022-01-19T15:03:36Z'}","Hi Vironx, thank you so much for your lovely word. We are delighted to hear that you are connecting with like-minded people and finding helpful recommendations and advice on plant-based items. Thanks for all your support -see you on abillion 💚",2022-01-19 15:03:36,27538757.0,False,5,"I would've liked to have found this app sooner. This is so great to help the plant based movement, donate to incredible causes without spending money from your pocket, and bring people who care about health, animals, and the planet together into a single community. This app also helps plant based eaters find incredible items to buy and enjoy! Absolutely love this app!",2022-01-18 02:27:44,Makes a difference!,Vironx
"{'id': 26546617, 'body': ""Thank you so much for your kind words, khalyla! We are glad that you found a community with abillion and are also discovering new products and restaurants. Keep on sharing our mission with others and get those food pictures on the app. Let's create impact together!!"", 'modified': '2021-12-14T01:10:30Z'}","Thank you so much for your kind words, khalyla! We are glad that you found a community with abillion and are also discovering new products and restaurants. Keep on sharing our mission with others and get those food pictures on the app. Let's create impact together!!",2021-12-14 01:10:30,26546617.0,True,5,This is a great app special for those who feel a little out of place in others. I love how I have a community in which I can truly relate to. I find new vegan products and restaurants thanks to this app and the wonderful people. I would recommend to any vegan 👍🏽 finally a place I can post my food pictures on and not just have them saved on my phone 😂,2021-12-14 01:10:30,Vegan community,khalyla
"{'id': 12962240, 'body': ""Hey there, thank you so much for this thoughtful review. We're working hard to make the app a great experience for the community and we couldn't have a chance of getting there without your feedback and contributions to helping build the community by sharing reviews.\n\nI have good news. There are a lot of improvements being worked on first half of this year to make the search engine great. To be honest, it kind of sucks! But we know what we need to do and we're working hard on it. In about a month, you'll see a huge improvement in the near me map that'll let you put in an address and see all the options. That's something I've personally wanted too!\n\nThank you so much, if you ever have any other feedback or if there's anything I can do to help, please reach out at vikas@abillionveg.com\n\nAll the best,\nVikas"", 'modified': '2020-01-17T01:38:59Z'}","Hey there, thank you so much for this thoughtful review. We're working hard to make the app a great experience for the community and we couldn't have a chance of getting there without your feedback and contributions to helping build the community by sharing reviews.

I have good news. There are a lot of improvements being worked on first half of this year to make the search engine great. To be honest, it kind of sucks! But we know what we need to do and we're working hard on it. In about a month, you'll see a huge improvement in the near me map that'll let you put in an address and see all the options. That's something I've personally wanted too!

Thank you so much, if you ever have any other feedback or if there's anything I can do to help, please reach out at vikas@abillionveg.com

All the best,
Vikas",2020-01-17 01:38:59,12962240.0,False,4,"I absolutely adore this app. I’ve used it many times to find vegan places in my area when I am somewhere unfamiliar. Fortunately I live in a city so this isn’t a problem. 

I’ve seen reviews stating that chains should be updated automatically. This is a great idea and I hope it is possible to implement.

Search function needs some improvement. For example, I’m going to an event with some friends and they wanted to know if there are nearby vegan options for dinner. I can’t just search the address and have the app tell me what’s near that address. I have to manually scroll to the area and drop a pin. Being able to find options near a searched address would take this app to the next level in my opinion.

I will be using this app and eagerly awaiting updates. Huge, huge potential here.",2020-01-16 00:37:56,Life saving app!,SunCanoe
,,,,False,5,"This app has been really useful for a person like me... an omnivore trying to make better, more sustainable choice when it comes to food and products. The app is pretty easy to use and in the short time I’ve been using it there have been some great updates to the interface and functions. I particularly like collections 🌈🐑",2020-09-10 06:59:20,Not just for vegans!,jenniferj1s
"{'id': 9968474, 'body': ""Dear Percy,\n\nThank you so much for taking the time to post a review about the app and for your suggestions. We're about a month away from a new app release that's going to vastly improve the location searches in the app and let you plug in locations that you want to search around really easily. We already have some city guides in the articles section of the app but soon we'll be launching user-collections where members can add their own guide or collection of reviews from the app for everyone to see.\n\nThanks again for the feedback. We've been working hard to improve and make the platform more useful for you.\n\nWishing you the very best,\nVikas"", 'modified': '2019-08-02T04:51:56Z'}","Dear Percy,

Thank you so much for taking the time to post a review about the app and for your suggestions. We're about a month away from a new app release that's going to vastly improve the location searches in the app and let you plug in locations that you want to search around really easily. We already have some city guides in the articles section of the app but soon we'll be launching user-collections where members can add their own guide or collection of reviews from the app for everyone to see.

Thanks again for the feedback. We've been working hard to improve and make the platform more useful for you.

Wishing you the very best,
Vikas",2019-08-02 04:51:56,9968474.0,False,4,I just want to say that I love this app and the work that all of you are doing. I love that it is an for restaurants and products around the world as well. My only wish is that you could filter the restaurants and reviews by state or city. It would certainly help people find a nice restaurant for a night out or while traveling. I think you could definitely take advantage of your world wide reach and provide travel guides for people visiting new countries.,2019-04-14 02:24:07,Filter locations for restaurants,Percyluvsnico
,,,,False,5,This app is a dream come true! Leaving a review with a picture of your vegan friendly meal purchased from {insert any input restaurant} = 1 point. 1 point = $1 that goes towards a $10 donation made by Abillionveg with the help of me taking a picture and posting about it when I’m sure that’s what most of us already do in this social media era! I am grateful to everyone involved in this.,2020-03-07 05:11:22,Compassion rules!,Colette614
"{'id': 9968507, 'body': ""Hey there, we heard you and built the product review feature! Hope you have a chance to try it out. Since doing this we've gotten thousands of brands and vegan products reviewed from around the world. Thank you for the amazing feedback!\n\nIf there's every anything we can do to improve the platform let me know at vikas@abillionveg.com\n\nThanks,\nVikas"", 'modified': '2019-08-02T04:54:39Z'}","Hey there, we heard you and built the product review feature! Hope you have a chance to try it out. Since doing this we've gotten thousands of brands and vegan products reviewed from around the world. Thank you for the amazing feedback!

If there's every anything we can do to improve the platform let me know at vikas@abillionveg.com

Thanks,
Vikas",2019-08-02 04:54:39,9968507.0,False,5,"Love the concept, but I feel like it’s very new and needs some upgrades. Pictures get cut off and the app has crashed a few times. I’d like an option to review a product instead of a dish as well. Posting about products that my local grocery store has is possible, but it feels weird to label it a dish and rate its presentation and everything. Thanks for this awesome app!",2019-03-26 13:19:15,Exactly what we need,nahhhhhhhhhhhhhhhhhhhhhhhhh
"{'id': 9968343, 'body': 'Hey Dave, thank you so much for the nice review. It means so much to have you part of this community of change-makers around the world. All I can say is that we promise to work super hard to deliver an even better experience with every new release. Stay tuned!\n\nAll the best,\nVikas', 'modified': '2019-08-02T04:36:11Z'}","Hey Dave, thank you so much for the nice review. It means so much to have you part of this community of change-makers around the world. All I can say is that we promise to work super hard to deliver an even better experience with every new release. Stay tuned!

All the best,
Vikas",2019-08-02 04:36:11,9968343.0,False,5,"I love taking photos of great food - and with this app I can convert the pictures to money for farm sanctuaries. Every food review can earn a dollar for the sanctuary of your choice, with options from all over the world. It’s such a brilliant concept and so much fun! I am having a wonderful time seeing food photos from many countries and getting to know fellow reviewers.",2019-05-17 16:33:11,Share food pics for a great cause!,dave raatz
"{'id': 10136933, 'body': ""Hey there, we're so happy you found us too! Thank you so much for taking the time to help build our community and make an impact for others. Working together we have a real shot of improving food systems and sustainability across the world. If there's anything I can do to improve the experience for you please don't hesitate to reach out on the app, my username is @vikas\n\nAll the best,\nVikas"", 'modified': '2019-08-13T02:03:44Z'}","Hey there, we're so happy you found us too! Thank you so much for taking the time to help build our community and make an impact for others. Working together we have a real shot of improving food systems and sustainability across the world. If there's anything I can do to improve the experience for you please don't hesitate to reach out on the app, my username is @vikas

All the best,
Vikas",2019-08-13 02:03:44,10136933.0,False,5,I am SO happy I found this app!! It has motivated me to take more photos of meals because I enjoy spreading the vegan word. I love the incentive of knowing $10 will be donated once I make 10 approved posts. It’s a very helpful site because I’ve discovered new places that have vegan options that I wouldn’t have known of otherwise. I tell everyone about this app!,2018-09-15 04:33:36,Useful app with a meaningful outcome!,SoSoDee
"{'id': 12718682, 'body': ""Hi Nejraa,\n\nThank you so much for the review and rating. You're right, this is definitely something we need to fix and we've added it to our engineering calendar. It's going to take a while before we get to it but I really appreciate you taking the time to give us constructive feedback. We're working hard to make the app a great experience for everyone and have a lot of improvements and new features coming this quarter.\n\nThank you and wishing you all the best,\nVikas"", 'modified': '2020-01-04T08:16:48Z'}","Hi Nejraa,

Thank you so much for the review and rating. You're right, this is definitely something we need to fix and we've added it to our engineering calendar. It's going to take a while before we get to it but I really appreciate you taking the time to give us constructive feedback. We're working hard to make the app a great experience for everyone and have a lot of improvements and new features coming this quarter.

Thank you and wishing you all the best,
Vikas",2020-01-04 08:16:48,12718682.0,False,4,"I love the concept of this app and how easy it is to use. I know this will come in handy when traveling! The only thing I would change is that the app cancels my review of a dish if I leave the app while writing it. I like to fact-check and make sure everything is correct by visiting a restaurant’s website during my review, but have lost my progress as soon as I left the app to do so.",2019-12-19 08:05:44,Friendly Suggestion!,nejraa
,,,,False,5,"I love the app, but the problem is that I’m having trouble trying to post and access the camera to upload reviews! But I definitely recommend this app for any vegan folks or friends looking for healthier choices near your area! Articles to read from, donating to local sanctuaries, and recipes!",2021-06-21 00:50:40,Love The App,Gfvyy fuze
